,Name,Vertex,Edges,Density,Max. Degree,Avg. Degree,Max. k-core,Avg. Clustering Coeff.,Diameter,Average Path Length,Total Triangles,Avg. Eigenvector Centrality,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,Categories
0,output_CL_0,48,185,0.16400709219858156,16,7.708333333333332,5,0.1953448172198172,4,2.0762411347517733,90.0,0.13252184590317004,1712304.0,2808300.0,683188.0,1478070.0,89100.0,187396.0,506396.0,99088.0,22792.0,9108.0,352.0,237154.0,14128.0,9683.0,94022.0,85981.0,9996.0,16404.0,18001.0,16587.0,3070.0,856.0,3202.0,3586.0,3143.0,507.0,108.0,255.0,634.0,296.0,28.0,67.0,4.0,0.0,CL
1,output_CL_1,48,189,0.1675531914893617,17,7.875,6,0.1814367923742924,4,2.0567375886524824,87.0,0.13365500823712986,1712304.0,2869020.0,712316.0,1561230.0,86130.0,202708.0,549868.0,94864.0,24948.0,6996.0,88.0,255823.0,14026.0,10443.0,103642.0,96174.0,9241.0,16144.0,16897.0,18268.0,3592.0,676.0,2467.0,2551.0,3019.0,538.0,46.0,64.0,381.0,244.0,19.0,14.0,0.0,0.0,CL
2,output_CL_10,47,178,0.16466234967622573,13,7.574468085106383,6,0.1947594958233256,4,2.104532839962997,91.0,0.13342291063847306,1533939.0,2525820.0,617394.0,1319670.0,86086.0,155703.0,455972.0,89096.0,20898.0,8815.0,258.0,213176.0,13853.0,6763.0,80002.0,78209.0,7547.0,15292.0,15224.0,14590.0,2876.0,703.0,3005.0,2919.0,2824.0,456.0,96.0,166.0,553.0,282.0,24.0,44.0,1.0,0.0,CL
3,output_CL_11,48,186,0.16489361702127658,19,7.75,5,0.20770323122296802,4,2.0771276595744683,97.0,0.13249676084132034,1712304.0,2823480.0,691548.0,1473120.0,96030.0,183876.0,501116.0,103884.0,22924.0,10516.0,440.0,238186.0,15390.0,9515.0,91610.0,84609.0,10286.0,17012.0,18225.0,16473.0,2935.0,877.0,3578.0,4011.0,3126.0,541.0,143.0,320.0,711.0,312.0,27.0,88.0,5.0,0.0,CL
4,output_CL_12,48,168,0.14893617021276595,15,7.0,5,0.18976023976023976,5,2.203014184397163,74.0,0.13054036007794176,1712304.0,2550240.0,563860.0,1200870.0,73260.0,131868.0,370788.0,70092.0,16368.0,7480.0,440.0,175291.0,10617.0,5704.0,60202.0,56767.0,5885.0,10548.0,11126.0,10392.0,1823.0,458.0,2334.0,2494.0,1868.0,309.0,87.0,292.0,488.0,193.0,23.0,83.0,6.0,0.0,CL
5,output_CL_13,48,190,0.16843971631205673,15,7.916666666666668,6,0.1910727004477005,4,2.0593971631205674,104.0,0.13110850524331344,1712304.0,2884200.0,718916.0,1599840.0,102960.0,208780.0,584188.0,117568.0,28380.0,11396.0,352.0,262707.0,16776.0,10413.0,113027.0,105418.0,11472.0,21007.0,22094.0,21783.0,4187.0,1025.0,4235.0,4313.0,4207.0,737.0,139.0,250.0,786.0,411.0,34.0,66.0,3.0,0.0,CL
6,output_CL_14,47,167,0.15448658649398705,16,7.1063829787234045,5,0.1633658894297192,5,2.169287696577243,64.0,0.13311737844158772,1533939.0,2369730.0,542789.0,1171148.0,60544.0,135063.0,380335.0,60716.0,17200.0,4515.0,0.0,176965.0,9084.0,6111.0,64966.0,61167.0,5319.0,9616.0,10067.0,11625.0,2082.0,373.0,1484.0,1528.0,1775.0,388.0,37.0,0.0,213.0,151.0,11.0,0.0,0.0,0.0,CL
7,output_CL_15,47,166,0.15356151711378355,16,7.0638297872340425,5,0.17630194864237414,4,2.1739130434782608,82.0,0.12870551407146105,1533939.0,2355540.0,534232.0,1202366.0,77572.0,149984.0,410177.0,88107.0,19350.0,9116.0,430.0,178656.0,11317.0,7468.0,76728.0,68601.0,8878.0,14745.0,16708.0,14314.0,2596.0,856.0,3431.0,3668.0,3049.0,469.0,122.0,342.0,708.0,329.0,30.0,88.0,5.0,0.0,CL
8,output_CL_16,48,166,0.14716312056737588,15,6.916666666666668,5,0.15018465330965328,4,2.1994680851063833,62.0,0.12965927283357695,1712304.0,2519880.0,548372.0,1219680.0,61380.0,139964.0,382976.0,61908.0,17776.0,5588.0,264.0,174911.0,8699.0,6212.0,64261.0,60141.0,5321.0,9679.0,10145.0,11931.0,1975.0,374.0,1950.0,1807.0,1871.0,406.0,60.0,178.0,321.0,207.0,23.0,51.0,5.0,0.0,CL
9,output_CL_17,48,176,0.15602836879432624,16,7.333333333333332,5,0.1652269027269028,4,2.1382978723404253,85.0,0.13004626679199707,1712304.0,2671680.0,618112.0,1338480.0,84150.0,155540.0,446952.0,90112.0,19888.0,8932.0,396.0,204072.0,12657.0,6999.0,78338.0,73497.0,8295.0,14823.0,16189.0,13892.0,2601.0,775.0,3213.0,3331.0,2846.0,427.0,99.0,310.0,646.0,314.0,37.0,91.0,11.0,1.0,CL
